source,img_idx,model,noise_idx,mse_t1,mse_t11,mse_t21,mse_t31,mse_t41,mse_t51,mse_t61,mse_t71,mse_t81,mse_t91,mse_t101,mse_t111,mse_t121,mse_t131,mse_t141,mse_t151,mse_t161,mse_t171,mse_t181,mse_t191,mse_t201,mse_t211,mse_t221,mse_t231,mse_t241
SD1.1,0,SD1.1,0,0.8984375000,0.6977539062,0.6108398438,0.5541992188,0.5131835938,0.4797363281,0.4514160156,0.4265136719,0.4047851562,0.3857421875,0.3684082031,0.3525390625,0.3376464844,0.3247070312,0.3127441406,0.3012695312,0.2905273438,0.2802734375,0.2707519531,0.2614746094,0.2526855469,0.2442626953,0.2366943359,0.2291259766,0.2220458984
SD1.1,0,SD1.1,1,0.9125976562,0.7187500000,0.6298828125,0.5708007812,0.5278320312,0.4926757812,0.4631347656,0.4375000000,0.4152832031,0.3959960938,0.3786621094,0.3625488281,0.3474121094,0.3339843750,0.3210449219,0.3090820312,0.2978515625,0.2873535156,0.2775878906,0.2678222656,0.2587890625,0.2500000000,0.2420654297,0.2340087891,0.2263183594
SD1.1,0,SD1.1,2,0.9243164062,0.7172851562,0.6259765625,0.5664062500,0.5234375000,0.4887695312,0.4597167969,0.4343261719,0.4123535156,0.3933105469,0.3759765625,0.3598632812,0.3449707031,0.3317871094,0.3188476562,0.3068847656,0.2956542969,0.2851562500,0.2751464844,0.2653808594,0.2561035156,0.2473144531,0.2392578125,0.2312011719,0.2235107422
SD1.1,0,SD1.1,3,0.9086914062,0.7163085938,0.6293945312,0.5712890625,0.5288085938,0.4938964844,0.4641113281,0.4384765625,0.4155273438,0.3957519531,0.3779296875,0.3613281250,0.3459472656,0.3322753906,0.3193359375,0.3073730469,0.2963867188,0.2858886719,0.2763671875,0.2668457031,0.2583007812,0.2500000000,0.2425537109,0.2348632812,0.2274169922
SD1.1,0,SD1.1,4,0.9150390625,0.7192382812,0.6303710938,0.5708007812,0.5273437500,0.4921875000,0.4624023438,0.4365234375,0.4135742188,0.3937988281,0.3757324219,0.3591308594,0.3439941406,0.3303222656,0.3173828125,0.3051757812,0.2939453125,0.2834472656,0.2736816406,0.2641601562,0.2553710938,0.2469482422,0.2396240234,0.2319335938,0.2243652344
SD1.1,0,SD1.1,5,0.9160156250,0.7143554688,0.6245117188,0.5654296875,0.5224609375,0.4875488281,0.4580078125,0.4323730469,0.4099121094,0.3906250000,0.3732910156,0.3571777344,0.3422851562,0.3291015625,0.3164062500,0.3046875000,0.2934570312,0.2832031250,0.2734375000,0.2641601562,0.2551269531,0.2465820312,0.2390136719,0.2312011719,0.2239990234
SD1.1,0,SD1.1,6,0.9038085938,0.7001953125,0.6123046875,0.5556640625,0.5151367188,0.4819335938,0.4538574219,0.4296875000,0.4084472656,0.3898925781,0.3730468750,0.3574218750,0.3425292969,0.3293457031,0.3166503906,0.3046875000,0.2934570312,0.2832031250,0.2734375000,0.2639160156,0.2551269531,0.2469482422,0.2396240234,0.2321777344,0.2249755859
SD1.1,0,SD1.1,7,0.8940429688,0.6962890625,0.6088867188,0.5527343750,0.5126953125,0.4804687500,0.4533691406,0.4294433594,0.4084472656,0.3901367188,0.3732910156,0.3576660156,0.3430175781,0.3300781250,0.3181152344,0.3071289062,0.2963867188,0.2858886719,0.2763671875,0.2666015625,0.2575683594,0.2487792969,0.2408447266,0.2327880859,0.2250976562
SD1.1,0,SD1.1,8,0.9204101562,0.7192382812,0.6308593750,0.5717773438,0.5288085938,0.4929199219,0.4621582031,0.4353027344,0.4116210938,0.3911132812,0.3725585938,0.3554687500,0.3395996094,0.3256835938,0.3125000000,0.3005371094,0.2893066406,0.2790527344,0.2697753906,0.2609863281,0.2521972656,0.2436523438,0.2360839844,0.2283935547,0.2213134766
SD1.1,0,SD1.1,9,0.8994140625,0.6987304688,0.6118164062,0.5551757812,0.5141601562,0.4807128906,0.4523925781,0.4274902344,0.4057617188,0.3869628906,0.3698730469,0.3540039062,0.3393554688,0.3264160156,0.3137207031,0.3022460938,0.2915039062,0.2817382812,0.2722167969,0.2629394531,0.2539062500,0.2452392578,0.2374267578,0.2294921875,0.2221679688
